komentar,sentimen
stlh datangnya kepala babi dan bngkai tikus ke kantor tempo apakah konsumsi daging babi dan pembasmian tikus got meningkat,negative
bisanya mreka bilang tempo yg dkirim kepala babi ama bangke tikus itu ulah dia sndri dibuat kata mreka wtf men,negative
"kapolri perintahkan kabareskrim usut teror kepala babi dan bangkai tikus ke tempo

selengkapnya",neutral
kantor tempo kembali diteror setelah kepala babi kini tikus mati,negative
"tempo mendapatkan teror berupa kiriman kepala babi tanpa telinga dan bangkai tikus yg dipenggal serangan terhadap jurnalis adalah ancaman bagi kebebasan pers 
 kamibersamatempo",negative
"anehnya kok cuma tempo yg dikirimin rendang pala babi sama tikus tanpa pala rendangnya ntar nyusul 
gk ada yg mau kirim ke media lain gitu kah",negative
saya yakin tiem tempo pasti sudah tau siapa yg meneror ndas babi n tikus tersebut enjoy dulu aja menguji para aparat sampai sejauh mana serius apa kagak mengungkap teror tersebut,negative
"gerindra ini bukan gaya pemerintahan prabowo

pernyataan gerindra bahwa teror pengiriman kepala babi dan bangkai tikus ke redaksi tempo bukan gaya pemerintahan prabowo patut dikritisi secara serius dalam konteks demokrasi yang sehat kekerasan simbolik",neutral
kiriman potongan kepala babi dan enam bangkai tikus tanpa kepala ke kantor tempo bisa dilihat sebagai proyeksi dari ketakutan ansietas kegelisahan atau pesan simbolik yang justru mencerminkan pelaku itu sendiri,neutral
fakta fakta teror kiriman paket isi kepala babi dan bangkai tikus ke kantor tempo,neutral
"isi tl 
keychain 
ruu tni
gantungan lucu
tempo bangkai tikus
skz mixtape
perempuan melawan",negative
"semua orang berempati sama tempo krn dikirim bangkai tikus 
tp gak ada yang berempati ama orang yang pagi masuk kantor lalu ama bosny disuruh nangkep tikus 
apalagi sopny gini pokokny cr tikus mati yg kepalanya ilang oke jgn balik kantor klo blm dpt ekor",negative
"wartawan tempo terima ancaman kepala babi bangkai tikus polis indonesia lancar siasatan

 awaninews awani",neutral
"tempo diteror ancaman terhadap kebebasan pers 
dengan kiriman kepala babi dan bangkai tikus dengan kepalaa terpenggal memicu kekhawatiran besar ada upaya memasung suara kritik dari media 
 tempoditeror kebebasanpers mediademokrasi ancamanketempo",neutral
tempo ungkap beda cara teror kepala babi dan bangkai tikus kepala terpenggal dikirim,negative
"proses kreatif seperti apa yang menghasilkan ide absurd seperti

 kayanya tempo kita kirimin pala babi aja ya 

 tikus yang dipenggal bisa jadi follow up nih",negative
"tempo kena teror kiriman kepala babi dan bangkai tikus bentuk ancaman demokrasi

baca berita selengkapnya di",negative
wakil menteri ketenagakerjaan wamenaker immanuel ebenezer atau noel mengutuk keras aksi teror terhadap majalah tempo dengan mengirimkan kepala babi dan bangkai tikus noel menegaskan bahwa teror seperti ini harus dilawan dan tidak boleh dibiarkan ia meminta aparat penegak,neutral
"sekelas majalah tempo yang katanya punya tim investigasi paling tajam dan canggih kok bisa bisanya nggak tahu siapa yang kirim paket kepala babi dan tikus 

masa iya tim yang biasa membongkar korupsi miliaran rupiah jejak mafia tambang dan konspirasi politik tingkat tinggi",negative
"kita tunggu komen hasan babi setelah teror kedua bangkai tikus ke tempo 

apakah dia akan nyate tikus",negative
kapolri perintahkan bareskrim usut tuntas teror kepala babi dan bangkai tikus di kantor tempo,neutral
"menurut kalian siapa yg melakukan teror ke kantor tempo dng mengirim kepala babi dan bangkai tikus 

a gerandong 
b kolor ijo
c tuyul
d tidak tahu",negative
fakta kiriman barang ke redaksi tempo diduga upaya teror dari kepala babi bangkai tikus,neutral
"anyway fyi ada banyak orang yang memaklumi bahkan setuju sama teror babi dan tikus ke tempo kok bisa 

karena mereka percaya teori konspirasi kalau tempo itu didanai asing terutama george soros antek irl

padahal george soros orang hungaria holocaust survivor pula",negative
belum lagi pelaku teror pengirim kepala babi terungkap kantor redaksi tempo kembali dikirimi bangkai tikus dengan kondisi kepala terpenggal humaniora adadikompas,neutral
"hahahaha sekaliber orang ini ternyata bisa kena tipu 
yg kirim kepala babi dan tikus itu orang suruhan tempo 
framing jahat seakan akan tempo lagi diteror 
buka nalar anda",negative
"tempo mendapatkan teror berupa kiriman kepala babi tanpa telinga dan bangkai tikus yg dipenggal serangan terhadap jurnalis adalah ancaman bagi kebebasan pers 

pak polisi 
 
 
 usut dan tangkap pelaku teror kawan kami 

 kamibersamatempo akhiriimpunitas",negative
"hahahaha ga ngrasa kalau sudah dikibuli tempo yg kirim kepala babi dan tikus kan orang tempo sendiri difreming se akan akan tempo lagi diteror 
ga usah kaget cara main tempo 
ingat proposal tempo yg ditolak",negative
lagi kantor tempo dapat kiriman bangkai tikus sinyal perkuat dugaan teror,neutral
teror ke kantor tempo berlanjut kepala tikus dipenggal polisi dikerahkan,neutral
"lagi nonton tv sama mama trus aku ngasih tau kalo tempo dapat kiriman kepala babi dan disusul ekor tikus mati yang kepalanya udh dipenggal beliau kaget dan heran karena ga disiarkan di tv nasional 

ini media nasional ga ada yang mau memberitakan segudang problem negeri ini",negative
"kepala kantor komunikasi kepresidenan hasan nasbi kini mengaku mendukung kebebasan pers setelah kantor tempo mendapat teror paket berisi kepala babi dan enam bangkai tikus 

 ll hasannasbi kebebasanpers",neutral
kapolri listyo sigit perintahkan kabareskrim usut teror kepala babi dan bangkai tikus yang menyasar jurnalis tempo,neutral
"kata orang yang bijak bilang kalau ruu tni tidak berbahaya makanya pelajari dulu jangan ngikut arus aja cakapnya 

tapi fenomena pengiriman paket spesial ke kantor redaksi tempo kepala babi dan bangkai tikus cukup bisa mematahkan keamanan dari ruu tni",negative
teror kepala babi dan bangkai tikus tempo ancaman bagi pembela ham,negative
"gimana klo kepala babi dan bangkai tikus yg dikirim ke tempo beneran dimasak aja terus kirim balik ke dpr dan ke hasan nasbi abis gitu kasih notes 

 as per your request your majesty enjoy your meal",negative
ngirim bangkai tikus ke tempo,negative
kemaren kemaren tempo dikirimin tikus dengan kepala yg udah kepenggal setelah sebelumnya dikirimi kepala babi emang gabisa dan ga dibiarin tenang,negative
"gua punya salah satu temen ekstrimis well waktu ngumpul dan bahas paket kepala babi dan bangke tikus di tempo si ekstrimis bilang ya salah mereka sendiri 

salah satu suara angin tapi anginnya angin ribut",negative
kapolri jenderal listyo sigit prabowo memerintahkan kabareskrim komjen wahyu widada untuk melalukan penyelidikan lebih lanjut terkait kasus teror kepala babi dan bangkai tikus ke kantor redaksi media tempo saya sudah perintahkan kepada kabareskrim untuk melakukan penyelidikan,neutral
"teror kepala babi tanpa kuping dan bangkai tikus tanpa kepala dikirim ke kantor tempo 

saksikan wawancara radio elshinta bersama pemimpin redaksi tempo sestri yasra minggu pukul wib

live di radio elshinta fm

 tempo teror",neutral
"sempat telat terbit biasanya jam mari baca isinya setelah diteror pake pala bab dan bangke tikus 
btw peredaran majalah tempo di ub masih belum ada hilalnya kah braw sejak prabowo dilantik sulit banget cari majalah tempo yang baru di perpus pusat ataupun fakultas",negative
msh gak ngerti yah kalian ini malah pada debat itu tandanya si tempo nyari gara dan pihak istana gak peduli bahkan bisa jadi dia yg ngelakuin saranku tempo bersih dan sadar diri dari skr bagus cuma tikus dan babi bagaimana klo kepala kalian yg hilang wkwkwkwkwk,negative
diteror lagi kantor tempo kali ini dapat kiriman bangkai tikus kepala lewat,neutral
terus menurut lu yg kirim siapa kalo tujuannya ngasih tau tempo ga perlu pakai simbol mengerikan berupa bangkai binatang ga ada orang suka dikirimi tikus mati kepotong potong,negative
tempo diteror lagi dapat kiriman bangkai tikus usai paket kepala babi,negative
sumpah serem and jijik banget anjing tempo dikirimin kepala babi berdarah kupingnya udh dipotong terus dikirim juga tikus kepalanya udh pada kepenggal terus masih berdarah semua ini mah krn era sosmed aj org gampang terdistraksi aslinya ngeri bgt itu,negative
ngomong gitu juga coba sama yang lempar kepala babi sama tikus tikus ke tempo itu ancamannya apa dianggap serius malah disuruh masak anying,negative
"respon kapolri soal kantor tempo diteror lagi bangkai tikus di kardus bungkus kertas motif mawar
 
 via",neutral
kantor redaksi tempo dikirimi kepala babi dan tikus tikus tanpa kepala little did they know babi dan tikus tikus yang dipenggal itu ya menggambarkan kondisi para pengirim di suatu hari nanti iya gak,negative
"pengen cerita jadi pas tgl kan ak ada workshop terus kita smpt kenalan dan ngobrol sama ex org tempo lupa dia sbg apa 
dia cerita kalo jd jurnalis tempo itu taruhannya nyawa pernah ada yg di sekap di ikuti di terror dll eh gak lama bener terjadi dikirim babi dan tikus",negative
boy gini kalo emg tweet receh td diseriusin oke proses ya tp yg ngirim kepala babi sm tikus yg dipenggal kepalanya ke tempo apa kabar bahas juga dong itu udh aksi teror secara konkrit loh sedangkan yg berbentuk tulisan aja ditanggapin serius,negative
pertama kepala babi kedua tikus ada kemungkinan dua pelaku orang lain yg kedua pelakunya tempo itu sendiri dengan teori menyakiti diri sendiri supaya dapat simpati,negative
pgn muntah tiap lewat berita tempo dikirim tikus jijik bgt kebayang bau sama tikusnya ewwh yek ini ngetiknya jg sambil jijik banget semoga gak bakal puasa,negative
"dijogetin kan lu sama sibeliau 
hadehh tempo dikirim pala babi dan tikus responnya dimasak aja yang dimana itu sudah pasti ancaman pada pihak tempo tai tanggapannya kaya tai ini orang orang itu emang kalo ngomong goblok aja atau emng gk punya empati si",negative
teror tikus mati dengan kepala terpenggal kepasa majalah tempo itu mengirimkan pesan bahwa jangan beritain macem lu nyawa lu dan wartawan lainnya akan gue giniin,negative
"teror di kantor tempo terjadi lagi dikirim paket berisi bangkai tikus

 teror kantortempo kriminalitas tempo
 
 via",negative
setelah kepala babi tempo kembali diteror dengan bangkai tikus kunto aji beri dukungan,neutral
menurutku kejadian tikus tanpa kepala yang dikirim ke kantor tempo dalam kertas bunga mawar merah adalah intimidasi simbolis untuk membungkam jurnalisme investigasi mereka tikus bisa melambangkan pengkhianatan kepala dipotong menunjukkan ancaman dan mawar merah menambah,negative
anjg kenapa buzzer ini bloon banget template nya selalu sama sekarang mereka lagi seragam mempertanyakan kenapa tempo gak tau siapa yang ngirim teror babi tikus wkwkwkwk,negative
"tempo kan majalah dan punya wartawan yg mumpuni apalagj bocor alus tembok istana aja dpt dia tembus
masa tdk bisa cari yg kirim kepala babi atau tikus ljhat aja cctv dan dr situ awalnya
aneh",negative
"kmrn aku sempet baca tikus yang di penggal ada pas banget sama pembawa acara bocor alus tempo ada termasuk mba cica

make sense ga 
ngeri banget kataku",negative
"tw bangkai darah 
kronologi kantor tempo dikirimi bangkai tikus paket dilempar dan dibuka oleh ob 

ngeri",negative
"dulu tahun si di kerim kepala manusia sekarang tempo dapet kepala babi tikus 
tau ga kenapa si di kirim kepala manusia soalnya si terlalu menyuarakan fakta 
 gagalkanruutni
 cabutruutni
 peringatandarurat
 indonesiagelap
 tolakruutni
 tolakrevisiuutni
 peringatandarurat",negative
teror kepala babi dan bangkai tikus ke kantor tempo,negative
"kertas kado bergambar mawar untuk membungkus kardus yg berisi tikus terpotong kepalanya yg dikirimkan ke tempo

ada maknanya nggak ya krn dulu ada mawar skrg jg ada mawar mawar yg mana atau hanya sebuah kebetulan sj

duh mawar siapakah engkau 

 indonesiagelap",negative
"tikus dipenggal itu jurnalis bocor alus tempo
mawar itu bisa tim mawar atau partai mawar kan 

produk bocor alus terbaru",negative
"maret tempo dpt kiriman paket kepala babi 

 maret tempo dpt kiriman bangkai tikus yg kepalanya terpenggal 

negara akan maju jika polisi takut kepada rakyat bukan rakyat takut kepada polisi",negative
pengirim paket kepala babi dan bangkai tikus ke tempo belum diketahui polisi masih menyelidiki kemungkinan pelaku tidak suka dengan laporan tempo soal korupsi seperti kasus lpei dan pt timah kejadian pada dan maret ini dianggap intimidasi terhadap kebebasan pers di,negative
tolong dijawab menurut anda siapa yang mengirim paket kepala babi dan bangkai tikus ke media tempo,negative
besok besok pertanyaannya ganti gimana tanggapannya pak terkait kepala babi dan tikus tikus yang mirip bapak semua itu kepada wartawan tempo,negative
apa yang terjadi setelah redaksi tempo dikirimi kepala babi dan bangkai tikus tanpa kepala,negative
"kita harus apresiasi buat yg ngirim krn mrk rela memeganggal temen temen mereka sendiri buat di kirim ke tempo 

stay save kakak kakak awas di gigit tikus",positive
kenapa tikus memilih kertas kado motif mawar untuk mengirim dirinya ke kantor tempo karena dia pikir dengan begitu dia akan terlihat lebih menarik dan tidak akan ditolak masuk ternyata dia salah besar,negative
"usai teror kepala babi kantor tempo kini dikirimi bangkai tikus

selengkapnya",neutral
"usai teror kepala babi kantor tempo kini dikirimi bangkai tikus 

selengkapnya",neutral
kenapa dia ga menyoroti tempo yang dikirimin kepala babi dan bangkai tikus ya kenapa malah yg begini diurusin doxxing pula wth,negative
gila nggak kaget sih sejak semalam berita soal kiriman babi dan tikus di up oleh beberapa media di kolom kolom komentar youtube mulai banyak muncul narasi yg malah menyalahkan tempo yakin gue kalau tempo sedang ditarget operasi untuk dibungkam rakyat nggak bodoh,negative
"kantor redaksi tempo kembali mendapat kiriman paket kedua berupa kotak berisi bangkai tikus yang dipenggal setelah sebelumnya berupa paket potongan kepala babi 

paket ini ditemukan oleh petugas kebersihan tempo pada sabtu maret pukul wib 

petugas kebersihan",neutral
semoga yang ngirim tikus dipenggal ke tempo kena leptospirosis,neutral
kantor media tempo kembali mendapat teror bangkai hewan setelah sebelumnya dikirimi kepala babi kali ini teror berupa bangkai tikus yang dipenggal,neutral
"kertas kado motif mawar jadi pembungkus teror bangkai tikus ke kantor tempo

kompas com maret wib

muhammad isa bustomi
editor",neutral
"jangan berhenti mengkritik kami masyarakat tetap mendukung tempo ini bukti bahwa kritik tempo sangat diperhitungkan 

tikus got mereka penggal tikus negara mereka pelihara",positive
"brief dari atasan ke pesuruh 
 tolong itu nanti sore kumpulin barang tikus potong kepalanya kirim ke kantor tempo 

gua yakin yang disuruh bingung itu",negative
"dear pengirim tikus 
elu repot amat sih nyari ngumpulin dan matiin tikus 
kenapa gak datang sekalian ke tempo aja langsung gitu lho
face to face
kamu yg ngirim juga paling bukan dalangnya
paling ditanyain doang

 anda namanya mawar 
 sejak kapan meramu bakso tikus",negative
paket kado bunga mawar merah begini kronologi teror bangkai tikus di kantor tempo,neutral
ini aku tiap makan keingetnya tikus yg dikirimin ke tempo anj,negative
dewan pers mengecam keras teror kepala babi dan tikus ke kantor tempo polisi diminta segera tangkap pelaku dan jamin kebebasan pers,neutral
aji jakarta desak polisi usut pengirim kepala babi dan bangkai tikus ke tempo menyebutnya ancaman kebebasan pers simak di sini,neutral
tempo kembali mendapat kiriman bangkai tikus yang dipenggal pimred kami tidak gentar via,neutral
"teror berlanjut setelah kepala babi kantor tempo diteror bangkai tikus

sumber kompas tv maret 
 terortempo teror tempo poldametrojaya babi bangkaitikus tikus redaksitempo",neutral
"pak 
 
 kantor tempo dalam seminggu ini diteror dua dikirimin kepala babi tanpa telinga dan ekor tikus yang kepalanya terpenggal ada atensi gak ini dari 
 
 

teror loh pak ini bukan main main",negative
tempo kembali diteror dengan kiriman ekor bangkai tikus yang dipenggal,negative
klo cuma babi atau tikus ort masih bisa spekulasi dan denial klo itu cuma gimmick tempo klo sampe ngirim manusia gaakan ada lagi celah buat spekulasi gitu,negative
"pov buka tl hari ini 
 pemerintah ga jelas 
 tee bola susu gemes bgt 
 buna tddy 
 lah dew sama tee couple jam 
 yaallah banjir nya parah bgt di sulut 
 eh anjir ada yang mendidih 
 jeno ganteng bgt mak 
 tempo dikirimin tikus 
 kangen renjun 
 renjun ultah",positive
yg ngirim tempo kepala babi sama tikus mati culun tolakruupolri kami bersama tempo,negative
"apapun yang terjadi kami bersama tempo lawan kepala babi tikus atau apapun itu
 template from instagram 

 tolakruutni 
 tolakrevisiuutni 
 tolakdwifungsiabri 
 peringatandarurat
 indonesiagelap 
 indonesiamakingelap kamibersamatempo",neutral
"apakah ini sebuah kode clue untuk tempo 
tikus koruptor 
tikus yg tervengal koruptor di hukum berat",negative
"pertama liat berita tempo dikirim bangke tikus kedua liat orang didoxxing karena ngetwit tentang pemerintah seriusan dah ini ulah siapa 

perasaan fufufafa sejelas itu menghina pencemaran nama baik ga ditangkep tangkep padahal udah jelas arahnya ke satu orang",negative
"ya allah baru ditinggal bbrp jam ga sampe seharian udah adaa berita yg bikin kesel lagi 
yg ngirimin bangke tikus ke kantor tempo skrg tobat dahh kata gua mah asli dah ya allah ngirim mah parsel lebaran kek inimah malah ngirimin pemerintah tikus",negative
setelah kepala babi kantor tempo kembali diteror dengan kiriman bangkai tikus,neutral
kali ini tikus yang dipenggal tempo kembali dapat kiriman bangkai hewan,negative
"oh iya masalah bakar jembatan
buat yang ngikutin politik baru pasca 
kalian tau tempo yang baru ini saking kritisnya sampe mobilnya dipecahin dikirimin kepala babi ama bangkai tikus tanpa kepala 
 tempo juga mengendorse mly kok
karena berharap pemberantasan korupsi",negative
"pemeriksaan sementara oleh manajemen gedung bungkusan berisi bangkai tikus itu dilempar orang tak dikenal pada pukul wib dari luar pagar kompleks kantor tempo 
dr statement itu kayanya taunya dr cctv sih cmiiw",neutral
"unik
awalnya ramai jd perdebatan ruu tni ada yg pro dan yg kontra berikutnya berita timnas indonesia di bantai selanjutnya muncul teror bangkai kepala babi selang sehari muncul lg teror bangkai tikus tanpa kepala yg dikirim ke kantor media tempo
dalangnya siapa
 palkon",negative
hal yang paling lebih spesialnya lagi perihal kiriman paket ke kantor redaksi tempo yang berisikan potongan kepala babi dan gerombolan tikus tikus yang mati menandakan representasi dari sebagian besar pejabat yang ada di negeri ini,negative
maret kembali dapat kiriman paket di kantor tempo kali ini isinya bangkai tikus yang dipenggal,negative
"jno keren banget
oalah pemerintah brengsek
ih taeten ya ampunn
wow jm nyetir pake tangan
buset jw makin cakep
lah jni buka baju
heh tempo dikirimin bangke tikus
pejabat brengsek",negative
usai teror kepala babi kantor tempo dikirimi bangkai tikus yang dipenggal mcinewsid tempo,neutral
sumpa dah ini siapa anjing org gila yg kirim bangke tikus ke kantor tempo sick,negative
itu katanya di kirimin bangkai tikus lagi tempo,negative
"ketika media independen tumbang satu per satu siapa yang tersisa untuk bicara lantang siapa yang akan jaga ruang kritis publik 

mungkin sekarang kita sibuk scroll tiktok tapi besok kita bisa kehilangan suara kebenaran karena medianya satu per satu dibungkam atau dipaksa",negative
udah jobless media jg makin dibungkam piye masih banggain presmu itu,negative
kenapa aku dibungkam kayak media ha ha ha,negative
pertanyan gua simple sihh kalo udh kayak gini media masih mau dibungkam kalian masih ada kesempatan netral kayak dulu lohh sekarang kalian diam atau berbicara sama saja ujungnyakan,negative
"efisiensi jumlah karyawan kantor redaksi semakin berkurang berita yg disiarkan utamanya tentang perkembangan politik negeri means perlahan eksistensi media dibungkam karena kebijakan efisiensi 

indonesia gelap is coming real soon",negative
bela rakyat zaman mahathir media dikawal ketat dan pemimpin pembangkang dibungkam,negative
"indonesiagelap adalah alarm 
bahwa demokrasi kita bukan sedang sakit tapi sedang dibungkam perlahan 
ketika partisipasi publik dianggap gangguan 
ketika kritik dianggap ancaman 
maka yang tersisa hanyalah kekuasaan tanpa pertanggungjawaban",negative
"alhamdulillah ada yang bener gak semua media bisa dibungkam dengan iming soncek ya nek 
 
 ayo dong refundnya mana",negative
setelah audit danantara oleh bpk kpk hanya bisa dilakukan atas permintaan dpr sekarang press dibungkam dg alasan nggak enak kalo negur para direksi di depan media kalo gak enak negur ya tinggal undang aja satu ke istana atau kantor kemensetneg transparansi dr mananya ini,negative
"akhirnya mk menegaskan bahwa dinamika kritik dan opini di media sosial bukan kerusuhan yang bisa dipidana pakai uu ite ini kemenangan kecil untuk kebebasan berekspresi di ruang digital 

demokrasi memang kadang gaduh tapi justru di situlah nafasnya jangan dibungkam cuma",negative
media tidak dibungkam ya teman tapi diusir,negative
yaallah media tuh basic negara itu tempat aman ini media dibungkam lo paham knp indo ga pernah maju,negative
kali ini beneran media dibungkam sih,negative
ow katanya transparan ya wo kok media aja dibungkam ga boleh nyimak,negative
"hari kerja prabowo makin lama makin dibungkam 

hari ini di townhall danantara para awak media tidak diperkenankan untuk meliput karna satu dan lain hal 

kalau ga dikawal makin lama makin lucu dan gemoy aja ini negara",negative
"penguasa seakan lupa ad tuhan yg maha kuasa melihat mendengar mau dilarang diliput media massa dibungkam cctv dimatiin atau signal diblokir acak nanti saatnya kebenaran informasi terungkap tinggal nunggu waktu 
dan kekuasaan ada batasnya tidak ada yg abadi 

 selfreminder",negative
betul apalagi yg jauh dari peradaban dan sulit disorot media atau udah dibungkam duluan,negative
"sebelum ada revisi uu tni media massa dibungkam oleh penguasa utk tidak memberitakan aksi protes mahasiswa sekarang oknum tentara yang turun langsung untuk membungkam mahasiswa 

sebaiknya personil tni segera dikembalikan ke barak 

 cabutuutni",negative
"iq sudah dibentuk dari zaman orde baru orang yg kritis dibungkam 
kemudian di era jokowi eranya sosial media byk buzzer media berita jg berperan penting 
menginformasikan kesuksesan jokowi sangat masif sistematis 
akhirnya masyarakat terdoktrin bahwa jokowi itu orang baik",positive
"kejaksaan bungkam media dibungkam rakyat dibungkam lalu siapa yang boleh bersuara 
 pembungkamandemokrasi pembungkamanpers persdanmahasiswadibungkam",negative
"ngakunya anti korupsi tapi kelakuannya korup sama logika kritik dibilang sabotase media dibungkam dasar pengecut berjas kejaksaan 

 pembungakamdemokrasi
 pembungkamanpers
 persdanmahasiswadibungkam",negative
semua media itu sudah dibungkam kecuali media yg non pemerintah,negative
"tujuan pendidikan historis bukan hanya retrospektif tetapi juga prospektif agar masyarakat mampu mengenali tanda tanda pengulangan sejarah dalam bentuk baru 

ketika minoritas dijadikan kambing hitam ketika media dikontrol oleh negara ketika kritik dibungkam atas nama",neutral
ngga ada karena media dibungkam perez,negative
"kejaksaan bungkam media dibungkam rakyat dibungkam lalu siapa yang boleh bersuara 
 pembungkamandemokrasi pembungkamanpers flimtyrealityshow",negative
direksi diam owner menghilang disnaker tak berdaya media sosial kami dibungkam mau lari ke mana lagi ini bukan sekadar uang ini harga diri kami btelhancurkankami,negative
"kejaksaan bungkam media dibungkam rakyat dibungkam lalu siapa yang boleh bersuara 
 pembungkamandemokrasi pembungkamanpers",negative
lah apa sih aneh semua media dibungkam,negative
media berbayar versi lain bentar lagu anak gabah demo pers dibungkam,neutral
kuncinya di media kalo skala nasional akan mudah sekali menjadi sorotan publik sedangkan di daerah akan lebih mudah dibungkam,negative
setuju banget seni seharusnya bebas berekspresi tanpa takut dibungkam semua orang punya hak untuk menyuarakan pendapatnya,positive
media ga ada yg netral adanya dibungkam,positive
ortu aku sering bgtt aksi bela palestine trs hari ini juga kan trs aku nanya ko ga rame di public katanya media dibungkam kayanya ha,negative
"anjay makasih kamu yang udah nulis artikel ini

media lain dibungkam pemerintah keknya",negative
iya soalnya saat itu media dibungkam dan saat media sudah lebih bebas orang udah keburu males baca,negative
tapi kenyataannya berita bang ferry ini dibungkam semua di media massa di media sosial pun juga kayak hilang jejak gitu soal meninggalnya bang ferry ini,negative
di tengah banyak media yg dibungkam masih ada bang resa yg semakin menyala,neutral
gpp daripada kaya skg skg juga pemerintahnya kaya otoriter media aja dibungkam kalo china aja bisa kenapa kita enggak,negative
"sm punya kantor di indo mereka pasti tau paham kondisi politik indo tanpa baca berita internasional 
dan ngepublish ke dunia inter terkait kondisi indonesia mala bagus biar di luar sana tau klau indo nggak baik aja bnyk media dibungkam makanya kita perlu bantuan dari luar",negative
media itu banyak gak mungkin diundang semua tapi bukan berarti karena media itu gak diundang lalu diambil kesimpulan kalau media dibungkam di zaman pak prabowo anda saja masih bebas berekspresi di akun x anda membuat cuitan sesuai keinginan anda tanpa takut ditangkap,negative
ayo up terus tempo soalnya media lain udah dibungkam,negative
kalau bukan rakyat kecil yang teriak kasus kayak gini pasti dibungkam cepat cepat media pun banyak yang tutup mata,negative
"seru banget lihat live geruduk ugm gerudukugm di 
 
 oleh berbagai akun can t believe it s really happening yet no major media and tv station doing their coverage gimana nih 
 
 
 
 
 
 dibungkam semua",positive
udah kaya media yang lagi dibungkam rezim,negative
ngapain harus ditegur keterangan pers kan itu udh termasuk peneguran coba dibaca aja keterangan dari pihak ugm terakhir itu saya kirim link nya itu terakhir kali ugm memberikan keterangan somasi media menurut gw akan menjadi permasalahan baru media dibungkam lah dst,negative
media dibungkam pemerintah jong archen dibungkam pond,negative
seperti negara kita media dibungkam pemerintah,negative
itu karena media mainstream sdh dibungkam rezim otoriter ini wartawan tempo aja di teror,negative
"eh 

membungkam media itu gak sulit 
kuncinya insentif apa yang bisa diberikan 

semua orang punya harga kok 

dan gak perlu semua media dibungkam penting untuk menyisakan secukupnya untuk dibiarin ngomong semaunya buat pengawasan terhadap oposisi",negative
"karena kritik internal sering dibungkam diremehkan
mungkin rakyat sudah sering bersuara tapi diabaikan ketika bule speak up dampaknya lebih luas bahkan mungkin media internasional ikut sorot maka bukan marah malah bersyukur karena ada yg bantu menyuarakan",positive
kemarin media skrg masyarakat dibungkam menghela nafas berat,negative
"media yang lain dibungkam 

hehe kurleb begitu menurut orang sebelah",negative
herannya kok baru itu media yang buka suara apa yang lainnya dibungkam,negative
damn tb tb keinget film a taxi driver yang angkat isu gwangju korea selatan media disana pd dibungkam wktu itu wkwk nontonnya aja udah ngeri bgt,negative
cok lu kaga takut apa hidup di negara yang isinya orang kayak gini lu kritik dibungkam suruh manut aja itu pemerintahan diisi keluarga temen sodara sama budaknya aja media aja diancam cok apalagi elu rakyat biasa kek elu macam remah roti diusap dikit ilang,negative
waah ini media sampe disomasi ternyata beneran dibungkam nih kita,negative
satu dua media boleh bikin narasi tapi suara rakyat gak bisa dibungkam kami percaya bang dasco,positive
semua media berita dapat dibungkam yang tak dapat di bungkam cuma media tempo dan media sosial,negative
"kompas 
 
 media corong pemerintah baiknya dibungkam aja",negative
bahkan masih bingung sama temen sealmamater yg jelas ikut kelas jurnalistik dan lantang memilih media mu lgi dibungkam loh sama presiden matkul mu diperkuliahan skrang udah tinggal tulisan tanpa makna loh karena presiden pilihanmu masih mau diem masih mau belain,negative
"ini yg bikin makin muak pls udah tau negara ga baik aja media semua dibungkam data pun ditutup in 
emang anj",negative
"gw tiap hari debat sama dia tiap hari 

poin gw adalah kalo zaman itu kembali gw tidak mau rakyat dibungkam

terus dia lempar balik siapa yang mau bungkam 

saat itu media hanya sedikit kamu tau tidak media juga haus duit",negative
"protesnya di hari sabtu 
 media nasional nya terus terusan beritain kekurangan dari semua program dia alias gak dibungkam 
 masih ada oposisi walaupun agak tumpul 
 program nya emang dampak ke semua lini masyarakat 

no paling bikin nyesek",negative
dari semua kemungkinan kebenarannya ttg upaya pers dibungkam itu nyata keep speak up to everything kepada pemerintah dzalim dan media bahkan termasuk tier mediapun,positive
"mau sehancur apa negeri ini dibuatnya 

dari cara kalian memelihara kebodohan dengan cara kotor itu 

media sebagai sarana kami untuk memantau kalian saja dibungkam 

asal kalian tau kalian duduk manis disana itu atas kehendak kami 

iya kami yang berfikir bukan yang bodoh itu",negative
"yah berarti kesempatan rezim prabowo hancur gak bisa dong kan semua media dibungkam dan kongkalikong dengan pemerintah anjing banget ya 
 
 ni negara",negative
ngeri ya ini negara media bisa dibungkam pantes dulu pp ku ga bolehin ak kuliah jurnalistik,negative
apakah media besar nya dibungkam,negative
rupiah tembus k dikit lagi nyampe k dan pemerintah ga ada rencana apa apa instead of doing something to sort the problem out presidennya malah ngajak ketemu perwakilan media buat dibungkam dan disuruh berpihak sama pemerintah biar rakyat makin gampang dibodohin gitu kah,negative
"skrng dampaknya negara berantakan demo hampir terjadi diseluruh kota media dibungkam media kontra pemerintah diteror dikirim tikus n babi mahasiswa medis sipil dipukuli diculik rupiah turun ke rb bahan pokok mahal 
klo sampe sini masi gapaham lu buzzer tolol namany",negative
semoga ditonton oleh seluruh masyarakat dunia agar semua orang tahu bahwa media televisi di indonesia dibungkam,negative
